ID,FromLoc,ToLoc,FromTime,ToTime,VehicleID
0,1,2,0,3,V1
8,1,2,8,11,V1
16,1,2,16,19,V2
25,1,2,25,28,V2
33,1,2,33,36,V4
41,1,2,41,44,V1
49,1,2,49,52,V4
57,1,2,57,60,V3
62,2,3,4,7,V4
70,2,3,12,15,V4
78,2,3,20,23,V4
87,2,3,29,32,V2
95,2,3,37,40,V3
103,2,3,45,48,V1
111,2,3,53,56,V4
116,3,4,0,3,V3
124,3,4,8,11,V3
132,3,4,16,19,V3
141,3,4,25,28,V3
149,3,4,33,36,V2
157,3,4,41,44,V2
165,3,4,49,52,V1
173,3,4,57,60,V4
178,4,3,4,7,V3
186,4,3,12,15,V3
195,4,3,21,24,V3
203,4,3,29,32,V3
211,4,3,37,40,V2
219,4,3,45,48,V2
227,4,3,53,56,V1
232,3,2,0,3,V4
240,3,2,8,11,V4
248,3,2,16,19,V4
256,3,2,24,27,V4
265,3,2,33,36,V3
273,3,2,41,44,V3
281,3,2,49,52,V2
289,3,2,57,60,V1
294,2,1,4,7,V1
302,2,1,12,15,V1
311,2,1,21,24,V2
319,2,1,29,32,V4
327,2,1,37,40,V4
335,2,1,45,48,V3
343,2,1,53,56,V2
364,1,1,16,16,V1
365,1,1,17,17,V1
366,1,1,18,18,V1
367,1,1,19,19,V1
368,1,1,20,20,V1
369,1,1,21,21,V1
370,1,1,22,22,V1
371,1,1,23,23,V1
372,1,1,24,24,V1
373,1,1,25,25,V1
374,1,1,26,26,V1
375,1,1,27,27,V1
376,1,1,28,28,V1
377,1,1,29,29,V1
378,1,1,30,30,V1
379,1,1,31,31,V1
380,1,1,32,32,V1
381,1,1,33,33,V1
382,1,1,34,34,V1
383,1,1,35,35,V1
384,1,1,36,36,V1
385,1,1,37,37,V1
386,1,1,38,38,V1
387,1,1,39,39,V1
388,1,1,40,40,V1
592,1,1,0,0,V2
593,1,1,1,1,V2
594,1,1,2,2,V2
595,1,1,3,3,V2
596,1,1,4,4,V2
597,1,1,5,5,V2
598,1,1,6,6,V2
599,1,1,7,7,V2
600,1,1,8,8,V2
601,1,1,9,9,V2
602,1,1,10,10,V2
603,1,1,11,11,V2
604,1,1,12,12,V2
605,1,1,13,13,V2
606,1,1,14,14,V2
607,1,1,15,15,V2
649,1,1,57,57,V2
650,1,1,58,58,V2
651,1,1,59,59,V2
652,1,1,60,60,V2
673,2,2,20,20,V2
885,1,1,49,49,V3
886,1,1,50,50,V3
887,1,1,51,51,V3
888,1,1,52,52,V3
889,1,1,53,53,V3
890,1,1,54,54,V3
891,1,1,55,55,V3
892,1,1,56,56,V3
1039,4,4,20,20,V3
1121,1,1,41,41,V4
1122,1,1,42,42,V4
1123,1,1,43,43,V4
1124,1,1,44,44,V4
1125,1,1,45,45,V4
1126,1,1,46,46,V4
1127,1,1,47,47,V4
1128,1,1,48,48,V4
1169,2,2,28,28,V4
